,index,tempo_prefci,alternativas_prefci,tempo_posfci,alternativas_posfci,tempo_quest1,nota_quest1,tempo_quest2,nota_quest2,tempo_quest3,nota_quest3,tempo_quest4,nota_quest4
0,0,2580,"[3, 1, 2, 1, 3, 1, 2, 4, 3, 5, 2, 2, 2, 4, 3, 3, 1, 3, 2, 3, 3, 1, 4, 5, 2, 4, 3, 5, 2, 5]",,,"[120, 180, 60]","[5.0, 4.5, 9.5]","[240, 120, 780, 180, 120, 60, 120, 0, 60]","[5.0, 5.0, 7.5, 5.0, 7.5, 7.5, 7.5, 7.5, 10.0]",,,,
1,1,4920,"[3, 1, 3, 5, 2, 2, 2, 1, 5, 1, 4, 3, 4, 4, 3, 1, 2, 4, 5, 4, 4, 4, 2, 1, 3, 3, 3, 5, 4, 3]",3540.0,"[3, 1, 3, 5, 4, 2, 2, 4, 5, 2, 4, 2, 4, 4, 3, 1, 2, 2, 1, 4, 5, 4, 2, 1, 3, 5, 2, 5, 4, 3]","[360, 360, 420]","[7.0, 5.0, 10.0]","[900, 2640]","[7.5, 10.0]","[87360.0, 2820.0, 82920.0, 7140.0, 2580.0, 1980.0]","[5.0, 7.5, 7.5, 7.5, 5.0, 10.0]",,
2,2,4740,"[4, 4, 3, 5, 2, 2, 2, 1, 5, 2, 2, 2, 3, 5, 3, 3, 1, 5, 1, 5, 3, 4, 1, 1, 5, 1, 3, 5, 5, 5]",1440.0,"[4, 4, 3, 5, 3, 2, 1, 2, 5, 1, 3, 3, 2, 5, 3, 3, 4, 4, 1, 5, 3, 2, 5, 1, 4, 2, 1, 4, 2, 5]",[1320],[7.5],"[240, 300, 120, 120, 120]","[2.5, 5.0, 5.0, 5.0, 10.0]","[1980.0, 507780.0, 480.0, 4800.0, 420.0, 54120.0, 660.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0]",[2100],[8.7]
3,3,11700,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 3, 1, 2, 2, 5, 4, 3, 1, 2, 1, 3, 5, 3, 5, 2, 3]",2940.0,"[3, 1, 3, 5, 2, 2, 2, 2, 3, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 4, 5, 2, 3, 1, 3, 5, 2, 5, 2, 3]","[240, 840, 360, 60, 120, 60, 600, 0]","[7.5, 10.0, 7.5, 10.0, 7.5, 10.0, 7.5, 10.0]",[720],[10.0],"[1560.0, 1440.0, 29220.0, 960.0, 1560.0, 1380.0]","[7.5, 5.0, 5.0, 5.0, 7.5, 10.0]","[7200, 95820]","[7.0, 9.0]"
4,4,2580,"[3, 1, 3, 5, 2, 2, 2, 1, 2, 1, 4, 2, 4, 4, 1, 5, 2, 2, 5, 4, 3, 2, 4, 3, 3, 5, 3, 5, 2, 3]",2880.0,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 2, 1, 1, 2, 2, 5, 4, 3, 2, 2, 1, 3, 5, 3, 5, 4, 3]","[240, 300, 120, 120, 420]","[5.0, 9.5, 10.0, 10.0, 10.0]",[1080],[10.0],"[2640.0, 2580.0, 1320.0, 2400.0, 2040.0]","[5.0, 7.5, 10.0, 7.5, 10.0]","[3840, 240, 2220, 240, 120, 180, 120, 60, 120, 660, 2820]","[7.7, 2.0, 7.3, 0.0, 0.7, 0.3, 0.7, 1.3, 0.7, 2.0, 10.0]"
5,5,2760,"[4, 4, 3, 1, 3, 3, 4, 2, 2, 5, 2, 3, 2, 4, 3, 1, 1, 5, 1, 3, 5, 4, 4, 5, 4, 4, 2, 4, 4, 5]",,,,,,,,,,
6,6,2580,"[2, 2, 1, 5, 1, 2, 3, 1, 2, 3, 2, 2, 2, 2, 3, 1, 1, 1, 2, 5, 2, 1, 4, 3, 1, 1, 1, 5, 1, 5]",,,,,,,,,,
7,7,5340,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 1, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]",6960.0,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 1, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]","[300, 420]","[7.5, 10.0]",[600],[10.0],"[3540.0, 2220.0]","[7.5, 10.0]",,
8,8,3180,"[3, 4, 2, 5, 4, 2, 2, 2, 5, 2, 4, 2, 2, 4, 3, 3, 1, 2, 5, 4, 3, 1, 4, 3, 5, 2, 3, 5, 2, 5]",,,,,,,,,,
9,9,1020,"[4, 5, 1, 5, 5, 2, 2, 2, 4, 4, 3, 2, 1, 4, 2, 1, 1, 5, 4, 2, 3, 2, 4, 4, 5, 4, 2, 4, 2, 5]",,,,,,,,,,
10,10,3480,"[1, 2, 1, 1, 3, 2, 2, 2, 2, 5, 3, 3, 3, 1, 3, 3, 1, 3, 4, 5, 3, 1, 4, 3, 4, 1, 1, 4, 2, 3]",4140.0,"[1, 1, 2, 1, 3, 1, 2, 1, 3, 5, 3, 3, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 4, 3, 4, 2, 3, 4, 2, 3]",[1680],[10.0],[1800],[10.0],"[1620.0, 420.0]","[0.0, 5.0]",[3960],[6.3]
